"iso_code"	"continent"	"location"	"date"	"total_cases"	"new_cases"	"new_cases_smoothed"	"total_deaths"	"new_deaths"	"new_deaths_smoothed"	"total_cases_per_million"	"new_cases_per_million"	"new_cases_smoothed_per_million"	"total_deaths_per_million"	"new_deaths_per_million"	"new_deaths_smoothed_per_million"	"reproduction_rate"	"icu_patients"	"icu_patients_per_million"	"hosp_patients"	"hosp_patients_per_million"	"weekly_icu_admissions"	"weekly_icu_admissions_per_million"	"weekly_hosp_admissions"	"weekly_hosp_admissions_per_million"	"new_tests"	"total_tests"	"total_tests_per_thousand"	"new_tests_per_thousand"	"new_tests_smoothed"	"new_tests_smoothed_per_thousand"	"positive_rate"	"tests_per_case"	"tests_units"	"total_vaccinations"	"people_vaccinated"	"people_fully_vaccinated"	"new_vaccinations"	"new_vaccinations_smoothed"	"total_vaccinations_per_hundred"	"people_vaccinated_per_hundred"	"people_fully_vaccinated_per_hundred"	"new_vaccinations_smoothed_per_million"	"stringency_index"	"population"	"population_density"	"median_age"	"aged_65_older"	"aged_70_older"	"gdp_per_capita"	"extreme_poverty"	"cardiovasc_death_rate"	"diabetes_prevalence"	"female_smokers"	"male_smokers"	"handwashing_facilities"	"hospital_beds_per_thousand"	"life_expectancy"	"human_development_index"	"excess_mortality"
"21102"	"CRI"	"North America"	"Costa Rica"	"2021-06-30"	367938	1777	1487.857	4667	6	14.286	72228.066	348.834	292.074	916.155	1.178	2.804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5094114	96.079	33.6	9.468	5.694	15524.995	1.3	137.973	8.78	6.4	17.4	83.841	1.13	80.28	0.81	NA
"21579"	"CIV"	"Africa"	"Cote d'Ivoire"	"2021-06-30"	48305	63	35.286	313	0	0.571	1831.242	2.388	1.338	11.866	0	0.022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	757113	757113	NA	7745	2828	2.87	2.87	NA	107	NA	26378275	76.399	18.7	2.933	1.582	3601.006	28.2	303.74	2.42	NA	NA	19.351	NA	57.78	0.538	NA
"22071"	"HRV"	"Europe"	"Croatia"	"2021-06-30"	359872	136	81.429	8206	1	2.286	87661.025	33.128	19.835	1998.895	0.244	0.557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4105268	73.726	44	19.724	13.053	22669.797	0.7	253.782	5.59	34.3	39.9	NA	5.54	78.49	0.851	NA
"22547"	"CUB"	"North America"	"Cuba"	"2021-06-30"	190993	2970	2583.429	1284	14	13	16862.318	262.214	228.085	113.361	1.236	1.148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11326616	110.408	43.1	14.738	9.719	NA	NA	190.968	8.27	17.1	53.3	85.198	5.2	78.8	0.783	NA
"22641"	"CUW"	"North America"	"Curacao"	"2021-06-30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	167391	88770	78621	240	304	102.01	54.1	47.91	1853	NA	164100	362.644	41.7	16.367	10.068	NA	NA	NA	11.62	NA	NA	NA	NA	78.88	NA	NA
"23120"	"CYP"	"Europe"	"Cyprus"	"2021-06-30"	75860	429	265.857	374	0	0	85427.447	483.105	299.387	421.169	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	888005	127.657	37.3	13.416	8.563	32415.132	NA	141.171	9.24	19.6	52.7	NA	3.4	80.98	0.887	NA
"23607"	"CZE"	"Europe"	"Czechia"	"2021-06-30"	1667287	172	137.429	30303	5	2	155690.522	16.061	12.833	2829.681	0.467	0.187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	8237527	5052339	3275974	112244	93567	76.92	47.18	30.59	8737	NA	10708982	137.176	43.3	19.027	11.58	32605.906	NA	227.485	6.82	30.5	38.3	NA	6.63	79.38	0.9	NA
"24084"	"COD"	"Africa"	"Democratic Republic of Congo"	"2021-06-30"	40836	0	326.143	924	0	4.714	455.955	0	3.642	10.317	0	0.053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89561404	35.879	17	3.02	1.745	808.133	77.1	318.949	6.1	NA	NA	4.472	NA	60.68	0.48	NA
"24599"	"DNK"	"Europe"	"Denmark"	"2021-06-30"	294503	341	214.857	2535	0	0.429	50844.73	58.872	37.094	437.657	0	0.074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5792203	136.52	42.3	19.677	12.325	46682.515	0.2	114.767	6.41	19.3	18.8	NA	2.5	80.9	0.94	NA
"25069"	"DJI"	"Africa"	"Djibouti"	"2021-06-30"	11602	0	0.714	155	0	0	11742.891	0	0.723	156.882	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	988002	41.285	25.4	4.213	2.38	2705.406	22.5	258.037	6.05	1.7	24.5	NA	1.4	67.11	0.524	NA
"25535"	"DMA"	"North America"	"Dominica"	"2021-06-30"	193	0	0.286	NA	NA	0	2680.891	0	3.969	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71991	98.567	NA	NA	NA	9673.367	NA	227.376	11.62	NA	NA	NA	3.8	75	0.742	NA
"26022"	"DOM"	"North America"	"Dominican Republic"	"2021-06-30"	325221	857	852.429	3822	7	7	29980.077	79.001	78.58	352.326	0.645	0.645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10847904	222.873	27.6	6.981	4.419	14600.861	1.6	266.653	8.2	8.5	19.1	55.182	1.6	74.08	0.756	NA
"26509"	"ECU"	"South America"	"Ecuador"	"2021-06-30"	458504	1015	1342.429	21560	15	27.571	25987.782	57.53	76.088	1222.01	0.85	1.563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17643060	66.939	28.1	7.104	4.458	10581.936	3.6	140.448	5.55	2	12.3	80.635	1.5	77.01	0.759	NA
"27012"	"EGY"	"Africa"	"Egypt"	"2021-06-30"	281282	251	360.143	16169	21	28.857	2748.655	2.453	3.519	158.002	0.205	0.282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	102334403	97.999	25.3	5.159	2.891	10550.206	1.3	525.432	17.31	0.2	50.1	89.827	1.6	71.99	0.707	NA
"27481"	"SLV"	"North America"	"El Salvador"	"2021-06-30"	78766	0	183.143	2381	5	5	12143.626	0	28.236	367.087	0.771	0.771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6486201	307.811	27.6	8.273	5.417	7292.458	2.2	167.295	8.87	2.5	18.8	90.65	1.3	73.32	0.673	NA
"27954"	"GNQ"	"Africa"	"Equatorial Guinea"	"2021-06-30"	8734	0	3.714	121	0	0.143	6225.298	0	2.647	86.245	0	0.102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1402985	45.194	22.4	2.846	1.752	22604.873	NA	202.812	7.78	NA	NA	24.64	2.1	58.74	0.592	NA
"28421"	"ERI"	"Africa"	"Eritrea"	"2021-06-30"	6009	73	58	23	0	0.286	1694.381	20.584	16.354	6.485	0	0.081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3546427	44.304	19.3	3.607	2.171	1510.459	NA	311.11	6.05	0.2	11.4	NA	0.7	66.32	0.459	NA
"28935"	"EST"	"Europe"	"Estonia"	"2021-06-30"	131064	36	26.286	1269	0	0	98801.468	27.138	19.815	956.625	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1326539	31.033	42.7	19.452	13.491	29481.252	0.5	255.569	4.02	24.5	39.3	NA	4.69	78.74	0.892	NA
"29409"	"SWZ"	"Africa"	"Eswatini"	"2021-06-30"	19084	0	26.571	678	0	0.143	16449.399	0	22.903	584.4	0	0.123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1160164	79.492	21.5	3.163	1.845	7738.975	NA	333.436	3.94	1.7	16.5	24.097	2.1	60.19	0.611	NA
"29884"	"ETH"	"Africa"	"Ethiopia"	"2021-06-30"	276174	137	96	4320	0	4	2402.274	1.192	0.835	37.577	0	0.035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	114963583	104.957	19.8	3.526	2.063	1729.927	26.7	182.634	7.47	0.4	8.5	7.96	0.3	66.6	0.485	NA
"31087"	"FRO"	"Europe"	"Faeroe Islands"	"2021-06-30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	47304	28443	18861	NA	338	96.81	58.21	38.6	6917	NA	48865	35.308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.67	NA	NA
"31672"	"FJI"	"Oceania"	"Fiji"	"2021-06-30"	4418	274	267	21	0	1.143	4928.361	305.652	297.843	23.426	0	1.275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	896444	49.562	28.6	6.224	3.284	8702.975	1.4	412.82	14.49	10.2	34.8	NA	2.3	67.44	0.743	NA
"32191"	"FIN"	"Europe"	"Finland"	"2021-06-30"	95742	355	163.714	969	0	0	17279.71	64.071	29.547	174.887	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	4248079	3251600	996479	NA	33762	76.67	58.69	17.98	6093	NA	5540718	18.136	42.8	21.228	13.264	40585.721	NA	153.507	5.76	18.3	22.6	NA	3.28	81.91	0.938	NA
"32715"	"FRA"	"Europe"	"France"	"2021-06-30"	5837265	1380	1876.857	111244	14	31.429	86395.763	20.425	27.779	1646.492	0.207	0.465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67564251	122.578	42	19.718	13.079	38605.671	NA	86.06	4.77	30.1	35.6	NA	5.98	82.66	0.901	NA
"33337"	"GAB"	"Africa"	"Gabon"	"2021-06-30"	24984	0	3.714	159	0	0	11225.091	0	1.669	71.437	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	56768	38496	18272	NA	1060	2.55	1.73	0.82	476	NA	2225728	7.859	23.1	4.45	2.976	16562.413	3.4	259.967	7.2	NA	NA	NA	6.3	66.47	0.703	NA
"33808"	"GMB"	"Africa"	"Gambia"	"2021-06-30"	6079	0	4.857	181	0	0	2515.451	0	2.01	74.897	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	42975	31150	11825	NA	271	1.78	1.29	0.49	112	NA	2416664	207.566	17.5	2.339	1.417	1561.767	10.1	331.43	1.91	0.7	31.2	7.876	1.1	62.05	0.496	NA
"34299"	"GEO"	"Asia"	"Georgia"	"2021-06-30"	366078	1010	750	5316	19	15	91767.847	253.185	188.009	1332.606	4.763	3.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	361724	261652	100072	6775	4592	9.07	6.56	2.51	1151	NA	3989175	65.032	38.7	14.864	10.244	9745.079	4.2	496.218	7.11	5.3	55.5	NA	2.6	73.77	0.812	NA
"34823"	"DEU"	"Europe"	"Germany"	"2021-06-30"	3736205	806	538	90945	62	46.429	44593.329	9.62	6.421	1085.47	0.74	0.554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83783945	237.016	46.6	21.453	15.957	45229.245	NA	156.139	8.31	28.2	33.1	NA	8	81.33	0.947	NA
"35297"	"GHA"	"Africa"	"Ghana"	"2021-06-30"	95914	272	96.857	796	1	0.286	3086.737	8.754	3.117	25.617	0.032	0.009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31072945	126.719	21.1	3.385	1.948	4227.63	12	298.245	4.97	0.3	7.7	41.047	0.9	64.07	0.611	NA
"35966"	"GRC"	"Europe"	"Greece"	"2021-06-30"	422456	627	428.714	12687	11	14	40530.915	60.155	41.131	1217.205	1.055	1.343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	8391535	4839188	3788906	92362	95635	80.51	46.43	36.35	9175	NA	10423056	83.479	45.3	20.396	14.524	24574.382	1.5	175.695	4.55	35.3	52	NA	4.21	82.24	0.888	NA
"36121"	"GRL"	"North America"	"Greenland"	"2021-06-30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	39270	28030	11240	2272	835	69.17	49.37	19.8	14708	NA	56772	0.137	NA	NA	NA	NA	NA	199.941	2.16	NA	NA	NA	NA	71.7	NA	NA
"36587"	"GRD"	"North America"	"Grenada"	"2021-06-30"	161	0	0	1	0	0	1430.869	0	0	8.887	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	112519	317.132	29.4	7.304	5.021	13593.877	NA	243.964	10.71	NA	NA	NA	3.7	72.4	0.779	NA
"37087"	"GTM"	"North America"	"Guatemala"	"2021-06-30"	293583	909	1263.143	9215	68	52.857	16387.034	50.738	70.505	514.357	3.796	2.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17915567	157.834	22.9	4.694	3.016	7423.808	8.7	155.898	10.18	NA	NA	76.665	0.6	74.3	0.663	NA
"37245"	"GGY"	"Europe"	"Guernsey"	"2021-06-30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	81164	NA	NA	410	412	121.05	NA	NA	6144	NA	67052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"37720"	"GIN"	"Africa"	"Guinea"	"2021-06-30"	23770	17	27.286	171	2	0.429	1809.973	1.294	2.078	13.021	0.152	0.033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13132792	51.755	19	3.135	1.733	1998.926	35.3	336.717	2.42	NA	NA	17.45	0.3	61.6	0.477	NA
"38183"	"GNB"	"Africa"	"Guinea-Bissau"	"2021-06-30"	3859	6	2.857	69	0	0	1960.876	3.049	1.452	35.061	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1967998	66.191	19.4	3.002	1.565	1548.675	67.1	382.474	2.42	NA	NA	6.403	NA	58.32	0.48	NA
"38659"	"GUY"	"South America"	"Guyana"	"2021-06-30"	20055	96	117.286	469	1	2.429	25497.134	122.051	149.112	596.268	1.271	3.088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	786559	3.952	26.3	5.305	2.837	7435.047	NA	373.159	11.62	NA	NA	77.159	1.6	69.91	0.682	NA
"39127"	"HTI"	"North America"	"Haiti"	"2021-06-30"	18562	221	137	425	10	5.286	1627.884	19.382	12.015	37.272	0.877	0.464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11402533	398.448	24.3	4.8	2.954	1653.173	23.5	430.548	6.65	2.9	23.1	22.863	0.7	64	0.51	NA
"39604"	"HND"	"North America"	"Honduras"	"2021-06-30"	262760	691	1013.857	7005	25	23	26529.066	69.766	102.362	707.247	2.524	2.322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9904608	82.805	24.9	4.652	2.883	4541.795	16	240.208	7.21	2	NA	84.169	0.7	75.27	0.634	NA
"40129"	"HKG"	"Asia"	"Hong Kong"	"2021-06-30"	11923	2	3.571	211	0	0.143	1590.372	0.267	0.476	28.145	0	0.019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	3729080	2248992	1480088	60033	54399	49.74	30	19.74	7256	NA	7496988	7039.714	44.8	16.303	10.158	56054.92	NA	NA	8.33	NA	NA	NA	NA	84.86	0.949	NA
"40614"	"HUN"	"Europe"	"Hungary"	"2021-06-30"	808128	52	50.429	29992	1	3	83654.112	5.383	5.22	3104.649	0.104	0.311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9660350	108.043	43.4	18.577	11.976	26777.561	0.5	278.296	7.55	26.8	34.8	NA	7.02	76.88	0.854	NA
"41104"	"ISL"	"Europe"	"Iceland"	"2021-06-30"	6555	0	0	29	0	0	19208.791	0	0	84.982	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	401582	259385	192194	10705	4788	117.68	76.01	56.32	14031	NA	341250	3.404	37.3	14.431	9.207	46482.958	0.2	117.992	5.31	14.3	15.2	NA	2.91	82.99	0.949	NA
"41622"	"IND"	"Asia"	"India"	"2021-06-30"	30411634	48786	46979.429	399459	1005	1068.286	22037.346	35.352	34.043	289.462	0.728	0.774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	329158139	271410023	57748116	1734226	5112543	23.85	19.67	4.18	3705	NA	1380004385	450.419	28.2	5.989	3.414	6426.674	21.2	282.28	10.39	1.9	20.6	59.55	0.53	69.66	0.645	NA
"42108"	"IDN"	"Asia"	"Indonesia"	"2021-06-30"	2178272	21807	20693	58491	467	413.857	7963.744	79.726	75.653	213.843	1.707	1.513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	42744641	29279142	13465499	704140	820821	15.63	10.7	4.92	3001	NA	273523621	145.725	29.3	5.319	3.053	11188.744	5.7	342.864	6.32	2.8	76.1	64.204	1.04	71.72	0.718	NA
"42618"	"OWID_INT"	""	"International"	"2021-06-30"	722	0	0	15	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"43116"	"IRN"	"Asia"	"Iran"	"2021-06-30"	3204557	11748	10880.286	84264	137	133.571	38152.689	139.869	129.538	1003.227	1.631	1.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83992953	49.831	32.4	5.44	3.182	19082.62	0.2	270.308	9.59	0.8	21.1	NA	1.5	76.68	0.783	NA
"43609"	"IRQ"	"Asia"	"Iraq"	"2021-06-30"	1345904	7300	5843.429	17186	30	31.143	33461.468	181.49	145.278	427.273	0.746	0.774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40222503	88.125	20	3.186	1.957	15663.986	2.5	218.612	8.83	NA	NA	94.576	1.4	70.6	0.674	NA
"44097"	"IRL"	"Europe"	"Ireland"	"2021-06-30"	271908	-23	302.143	4998	9	1.286	55066.673	-4.658	61.19	1012.192	1.823	0.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4937796	69.874	38.7	13.928	8.678	67335.293	0.2	126.459	3.28	23	25.7	NA	2.96	82.3	0.955	NA
"44258"	"IMN"	"Europe"	"Isle of Man"	"2021-06-30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	106071	63241	42830	1072	1075	124.74	74.37	50.37	12642	NA	85032	147.872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.4	NA	NA
"44755"	"ISR"	"Asia"	"Israel"	"2021-06-30"	841777	291	221.714	6429	0	0.143	97252.962	33.62	25.615	742.761	0	0.017	NA	17	1.964	50	5.777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	10754994	5587320	5167674	5848	11896	124.26	64.55	59.7	1374	NA	8655541	402.606	30.6	11.733	7.359	33132.32	0.5	93.32	6.74	15.4	35.4	NA	2.99	82.97	0.919	NA
"45272"	"ITA"	"Europe"	"Italy"	"2021-06-30"	4259909	776	639.286	127566	24	30.571	70456.173	12.835	10.573	2109.86	0.397	0.506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	51564195	34065747	18730251	529854	539025	85.28	56.34	30.98	8915	NA	60461828	205.859	47.9	23.021	16.24	35220.084	2	113.151	4.78	19.8	27.8	NA	3.18	83.51	0.892	NA
"45749"	"JAM"	"North America"	"Jamaica"	"2021-06-30"	50124	44	47	1075	10	4.714	16927.144	14.859	15.872	363.033	3.377	1.592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2961161	266.879	31.4	9.684	6.39	8193.571	NA	206.537	11.28	5.3	28.6	66.425	1.7	74.47	0.734	NA
"46275"	"JPN"	"Asia"	"Japan"	"2021-06-30"	800305	1820	1502.571	14730	41	31.571	6327.699	14.39	11.88	116.464	0.324	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	44910572	29645387	15265185	759250	975681	35.51	23.44	12.07	7714	NA	126476458	347.778	48.2	27.049	18.493	39002.223	NA	79.37	5.72	11.2	33.7	NA	13.05	84.63	0.919	NA
"46862"	"JOR"	"Asia"	"Jordan"	"2021-06-30"	751404	518	471.571	9750	7	8.143	73644.388	50.769	46.218	955.588	0.686	0.798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	3828037	2449642	1378395	NA	76360	37.52	24.01	13.51	7484	NA	10203140	109.285	23.2	3.81	2.361	8337.49	0.1	208.257	11.75	NA	NA	NA	1.4	74.53	0.729	NA
"47337"	"KAZ"	"Asia"	"Kazakhstan"	"2021-06-30"	482686	2524	1815.857	3530	3	2.429	25706.637	134.422	96.708	187.999	0.16	0.129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	5335768	3335172	2000596	134601	103506	28.42	17.76	10.65	5512	NA	18776707	6.681	30.6	6.991	4.625	24055.588	0.1	466.792	7.11	7	43.1	98.999	6.7	73.6	0.825	NA
"47819"	"KEN"	"Africa"	"Kenya"	"2021-06-30"	184161	558	523.286	3634	13	17.143	3424.894	10.377	9.732	67.583	0.242	0.319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	1378585	1008120	370465	43836	25323	2.56	1.87	0.69	471	NA	53771300	87.324	20	2.686	1.528	2993.028	36.8	218.637	2.92	1.2	20.4	24.651	1.4	66.7	0.601	NA
"47863"	"KIR"	"Oceania"	"Kiribati"	"2021-06-30"	2	0	0	NA	NA	0	16.744	0	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	119446	143.701	23.2	3.895	2.21	1981.132	NA	434.657	22.66	35.9	58.9	NA	1.9	68.37	0.63	NA
"48337"	"OWID_KOS"	"Europe"	"Kosovo"	"2021-06-30"	107758	423	73	2262	0	0.857	55753.026	218.856	37.77	1170.339	0	0.443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	179029	137456	41573	NA	4516	9.26	7.11	2.15	2337	NA	1932774	168.155	NA	NA	NA	9795.834	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA
"48830"	"KWT"	"Asia"	"Kuwait"	"2021-06-30"	356687	1836	1698.286	1969	8	10.714	83522.243	429.92	397.673	461.063	1.873	2.509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4270563	232.128	33.7	2.345	1.114	65530.537	NA	132.235	15.84	2.7	37	NA	2	75.49	0.806	NA
"49300"	"KGZ"	"Asia"	"Kyrgyzstan"	"2021-06-30"	125003	1965	1102.714	2000	8	6.714	19159.923	301.187	169.019	306.551	1.226	1.029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6524191	32.333	26.3	4.489	2.882	3393.474	1.4	436.362	7.11	3.6	50.5	89.22	4.5	71.45	0.697	NA
"49764"	"LAO"	"Asia"	"Laos"	"2021-06-30"	2121	11	6.429	3	0	0	291.524	1.512	0.884	0.412	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7275556	29.715	24.4	4.029	2.322	6397.36	22.7	368.111	4	7.3	51.2	49.839	1.5	67.92	0.613	NA
