"iso_code"	"continent"	"location"	"date"	"total_cases"	"new_cases"	"new_cases_smoothed"	"total_deaths"	"new_deaths"	"new_deaths_smoothed"	"total_cases_per_million"	"new_cases_per_million"	"new_cases_smoothed_per_million"	"total_deaths_per_million"	"new_deaths_per_million"	"new_deaths_smoothed_per_million"	"reproduction_rate"	"icu_patients"	"icu_patients_per_million"	"hosp_patients"	"hosp_patients_per_million"	"weekly_icu_admissions"	"weekly_icu_admissions_per_million"	"weekly_hosp_admissions"	"weekly_hosp_admissions_per_million"	"new_tests"	"total_tests"	"total_tests_per_thousand"	"new_tests_per_thousand"	"new_tests_smoothed"	"new_tests_smoothed_per_thousand"	"positive_rate"	"tests_per_case"	"tests_units"	"total_vaccinations"	"people_vaccinated"	"people_fully_vaccinated"	"new_vaccinations"	"new_vaccinations_smoothed"	"total_vaccinations_per_hundred"	"people_vaccinated_per_hundred"	"people_fully_vaccinated_per_hundred"	"new_vaccinations_smoothed_per_million"	"stringency_index"	"population"	"population_density"	"median_age"	"aged_65_older"	"aged_70_older"	"gdp_per_capita"	"extreme_poverty"	"cardiovasc_death_rate"	"diabetes_prevalence"	"female_smokers"	"male_smokers"	"handwashing_facilities"	"hospital_beds_per_thousand"	"life_expectancy"	"human_development_index"	"excess_mortality"
"6707"	"AZE"	"Asia"	"Azerbaijan"	"2021-06-30"	336047	86	60.286	4974	1	1.286	33143.426	8.482	5.946	490.572	0.099	0.127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	3511219	2214990	1296229	88978	61554	34.63	21.85	12.78	6071	NA	10139175	119.309	32.4	6.018	3.871	15847.419	NA	559.812	7.11	0.3	42.5	83.241	4.7	73	0.756	NA
"7179"	"BHS"	"North America"	"Bahamas"	"2021-06-30"	12586	0	25.571	246	0	0.286	32005.249	0	65.026	625.559	0	0.727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	393248	39.497	34.3	8.996	5.2	27717.847	NA	235.954	13.17	3.1	20.4	NA	2.9	73.92	0.814	NA
"7672"	"BHR"	"Asia"	"Bahrain"	"2021-06-30"	265827	184	245.714	1352	1	3.143	156223.352	108.135	144.403	794.554	0.588	1.847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	2122296	1057888	987140	5799	20496	124.72	62.17	58.01	12045	NA	1701583	1935.907	32.4	2.372	1.387	43290.705	NA	151.689	16.52	5.8	37.6	NA	2	77.29	0.852	NA
"8157"	"BGD"	"Asia"	"Bangladesh"	"2021-06-30"	913258	8822	6625.857	14503	115	102.286	5545.336	53.568	40.232	88.063	0.698	0.621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	10102139	5823245	4278894	996	1672	6.13	3.54	2.6	10	NA	164689383	1265.036	27.5	5.098	3.262	3523.984	14.8	298.003	8.38	1	44.7	34.808	0.8	72.59	0.632	NA
"8628"	"BRB"	"North America"	"Barbados"	"2021-06-30"	4081	2	4.143	47	0	0	14201.155	6.96	14.416	163.552	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	287371	664.463	39.8	14.952	9.473	16978.068	NA	170.05	13.57	1.9	14.5	88.469	5.8	79.19	0.814	NA
"9117"	"BLR"	"Europe"	"Belarus"	"2021-06-30"	417189	914	690.857	3143	11	10.143	44150.156	96.727	73.112	332.616	1.164	1.073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9449321	46.858	40.3	14.799	9.788	17167.967	NA	443.129	5.18	10.5	46.1	NA	11	74.79	0.823	NA
"9630"	"BEL"	"Europe"	"Belgium"	"2021-06-30"	1085131	581	581.429	25173	3	3.429	93629.59	50.131	50.168	2172.031	0.259	0.296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11589616	375.564	41.8	18.571	12.849	42658.576	0.2	114.898	4.29	25.1	31.4	NA	5.64	81.63	0.931	NA
"10095"	"BLZ"	"North America"	"Belize"	"2021-06-30"	13251	24	24	329	0	0	33325.705	60.359	60.359	827.421	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	397621	16.426	25	3.853	2.279	7824.362	NA	176.957	17.11	NA	NA	90.083	1.3	74.62	0.716	NA
"10567"	"BEN"	"Africa"	"Benin"	"2021-06-30"	8199	0	4.143	104	0	0	676.307	0	0.342	8.579	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12123198	99.11	18.8	3.244	1.942	2064.236	49.6	235.848	0.99	0.6	12.3	11.035	0.5	61.77	0.545	NA
"11220"	"BTN"	"Asia"	"Bhutan"	"2021-06-30"	2100	24	18.571	1	0	0	2721.575	31.104	24.068	1.296	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	771612	21.188	28.6	4.885	2.977	8708.597	1.5	217.066	9.75	NA	NA	79.807	1.7	71.78	0.654	NA
