"iso_code"	"continent"	"location"	"date"	"total_cases"	"new_cases"	"new_cases_smoothed"	"total_deaths"	"new_deaths"	"new_deaths_smoothed"	"total_cases_per_million"	"new_cases_per_million"	"new_cases_smoothed_per_million"	"total_deaths_per_million"	"new_deaths_per_million"	"new_deaths_smoothed_per_million"	"reproduction_rate"	"icu_patients"	"icu_patients_per_million"	"hosp_patients"	"hosp_patients_per_million"	"weekly_icu_admissions"	"weekly_icu_admissions_per_million"	"weekly_hosp_admissions"	"weekly_hosp_admissions_per_million"	"new_tests"	"total_tests"	"total_tests_per_thousand"	"new_tests_per_thousand"	"new_tests_smoothed"	"new_tests_smoothed_per_thousand"	"positive_rate"	"tests_per_case"	"tests_units"	"total_vaccinations"	"people_vaccinated"	"people_fully_vaccinated"	"new_vaccinations"	"new_vaccinations_smoothed"	"total_vaccinations_per_hundred"	"people_vaccinated_per_hundred"	"people_fully_vaccinated_per_hundred"	"new_vaccinations_smoothed_per_million"	"stringency_index"	"population"	"population_density"	"median_age"	"aged_65_older"	"aged_70_older"	"gdp_per_capita"	"extreme_poverty"	"cardiovasc_death_rate"	"diabetes_prevalence"	"female_smokers"	"male_smokers"	"handwashing_facilities"	"hospital_beds_per_thousand"	"life_expectancy"	"human_development_index"	"excess_mortality"
"177"	"BGR"	"Europe"	"Bulgaria"	"2021-01-31"	218748	130	561.571	9045	17	32.143	31481.576	18.709	80.82	1301.73	2.447	4.626	1.14	263	37.85	2866	412.466	NA	NA	NA	NA	4532	1389599	199.987	0.652	10583	1.523	0.053	18.8	"tests performed"	41125	28041	13084	105	2140	0.59	0.4	0.19	308	53.7	6948445	65.18	44.7	20.801	13.272	18563.307	1.5	424.688	5.81	30.1	44.4	NA	7.454	75.05	0.816	-2.8
"178"	"BGR"	"Europe"	"Bulgaria"	"2021-02-28"	247038	332	1481.714	10191	24	48.143	35552.991	47.78	213.244	1466.659	3.454	6.929	1.31	380	54.688	4674	672.668	NA	NA	NA	NA	8429	1662699	239.291	1.213	10902	1.569	0.136	7.4	"tests performed"	212445	175066	37379	2685	13299	3.06	2.52	0.54	1914	53.7	6948445	65.18	44.7	20.801	13.272	18563.307	1.5	424.688	5.81	30.1	44.4	NA	7.454	75.05	0.816	11.9
"179"	"BGR"	"Europe"	"Bulgaria"	"2021-03-31"	342633	4207	3645.286	13197	129	112	49310.745	605.459	524.619	1899.274	18.565	16.119	1	748	107.65	9811	1411.971	NA	NA	NA	NA	20398	2098426	301.999	2.936	15821	2.277	0.23	4.3	"tests performed"	472443	377440	95003	13712	10162	6.8	5.43	1.37	1462	61.11	6948445	65.18	44.7	20.801	13.272	18563.307	1.5	424.688	5.81	30.1	44.4	NA	7.454	75.05	0.816	NA
"180"	"BGR"	"Europe"	"Bulgaria"	"2021-04-30"	404380	652	1154	16399	31	81.857	58197.194	93.834	166.08	2360.096	4.461	11.781	0.66	682	98.151	6824	982.09	NA	NA	NA	NA	16258	2509499	361.16	2.34	12874	1.853	0.09	11.2	"tests performed"	815463	602109	213354	12287	14075	11.74	8.67	3.07	2026	50.93	6948445	65.18	44.7	20.801	13.272	18563.307	1.5	424.688	5.81	30.1	44.4	NA	7.454	75.05	0.816	NA
"181"	"BGR"	"Europe"	"Bulgaria"	"2021-05-31"	418577	303	264.286	17700	38	26.714	60240.385	43.607	38.035	2547.333	5.469	3.845	0.67	359	51.666	3176	457.081	NA	NA	NA	NA	4282	2820959	405.984	0.616	10154	1.461	0.026	38.4	"tests performed"	1365923	805538	560385	12674	14295	19.66	11.59	8.06	2057	48.15	6948445	65.18	44.7	20.801	13.272	18563.307	1.5	424.688	5.81	30.1	44.4	NA	7.454	75.05	0.816	NA
"182"	"BGR"	"Europe"	"Bulgaria"	"2021-06-30"	421829	78	70	18061	12	6.857	60708.403	11.226	10.074	2599.287	1.727	0.987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	1761277	955804	805473	13012	9426	25.35	13.76	11.59	1357	NA	6948445	65.18	44.7	20.801	13.272	18563.307	1.5	424.688	5.81	30.1	44.4	NA	7.454	75.05	0.816	NA
"183"	"BFA"	"Africa"	"Burkina Faso"	"2021-01-31"	10682	102	92	120	0	1.143	511.02	4.88	4.401	5.741	0	0.055	0.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.67	20903278	70.151	17.6	2.409	1.358	1703.102	43.7	269.048	2.42	1.6	23.9	11.877	0.4	61.58	0.452	NA
"184"	"BFA"	"Africa"	"Burkina Faso"	"2021-02-28"	11982	0	26.429	142	0	0.429	573.212	0	1.264	6.793	0	0.021	0.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.22	20903278	70.151	17.6	2.409	1.358	1703.102	43.7	269.048	2.42	1.6	23.9	11.877	0.4	61.58	0.452	NA
"185"	"BFA"	"Africa"	"Burkina Faso"	"2021-03-31"	12717	0	17.286	146	0	0.143	608.373	0	0.827	6.985	0	0.007	0.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	30.56	20903278	70.151	17.6	2.409	1.358	1703.102	43.7	269.048	2.42	1.6	23.9	11.877	0.4	61.58	0.452	NA
"186"	"BFA"	"Africa"	"Burkina Faso"	"2021-04-30"	13310	1	11.286	157	0	0.143	636.742	0.048	0.54	7.511	0	0.007	0.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	20903278	70.151	17.6	2.409	1.358	1703.102	43.7	269.048	2.42	1.6	23.9	11.877	0.4	61.58	0.452	NA
"187"	"BFA"	"Africa"	"Burkina Faso"	"2021-05-31"	13434	4	2.714	166	0	0.143	642.674	0.191	0.13	7.941	0	0.007	0.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	20903278	70.151	17.6	2.409	1.358	1703.102	43.7	269.048	2.42	1.6	23.9	11.877	0.4	61.58	0.452	NA
"188"	"BFA"	"Africa"	"Burkina Faso"	"2021-06-30"	13479	0	0.857	168	0	0	644.827	0	0.041	8.037	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20903278	70.151	17.6	2.409	1.358	1703.102	43.7	269.048	2.42	1.6	23.9	11.877	0.4	61.58	0.452	NA
"189"	"BDI"	"Africa"	"Burundi"	"2021-01-31"	1632	19	22.857	2	0	0	137.249	1.598	1.922	0.168	0	0	1.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.67	11890781	423.062	17.5	2.562	1.504	702.225	71.7	293.068	6.05	NA	NA	6.144	0.8	61.58	0.433	NA
"190"	"BDI"	"Africa"	"Burundi"	"2021-02-28"	2209	28	25.429	3	0	0	185.774	2.355	2.139	0.252	0	0	1.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.81	11890781	423.062	17.5	2.562	1.504	702.225	71.7	293.068	6.05	NA	NA	6.144	0.8	61.58	0.433	NA
"191"	"BDI"	"Africa"	"Burundi"	"2021-03-31"	2810	53	21.857	6	0	0	236.318	4.457	1.838	0.505	0	0	1.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.67	11890781	423.062	17.5	2.562	1.504	702.225	71.7	293.068	6.05	NA	NA	6.144	0.8	61.58	0.433	NA
"192"	"BDI"	"Africa"	"Burundi"	"2021-04-30"	3995	10	33.714	6	0	0	335.975	0.841	2.835	0.505	0	0	1.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.74	11890781	423.062	17.5	2.562	1.504	702.225	71.7	293.068	6.05	NA	NA	6.144	0.8	61.58	0.433	NA
"193"	"BDI"	"Africa"	"Burundi"	"2021-05-31"	4790	36	34.857	6	0	0	402.833	3.028	2.931	0.505	0	0	1.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.74	11890781	423.062	17.5	2.562	1.504	702.225	71.7	293.068	6.05	NA	NA	6.144	0.8	61.58	0.433	NA
"194"	"BDI"	"Africa"	"Burundi"	"2021-06-30"	5452	24	21.714	8	0	0	458.506	2.018	1.826	0.673	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11890781	423.062	17.5	2.562	1.504	702.225	71.7	293.068	6.05	NA	NA	6.144	0.8	61.58	0.433	NA
"195"	"KHM"	"Asia"	"Cambodia"	"2021-01-31"	466	1	1.143	NA	NA	0	27.873	0.06	0.068	NA	NA	0	0.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	50.93	16718971	90.672	25.6	4.412	2.385	3645.07	NA	270.892	4	2	33.7	66.229	0.8	69.82	0.594	NA
"196"	"KHM"	"Asia"	"Cambodia"	"2021-02-28"	820	15	36	NA	NA	0	49.046	0.897	2.153	NA	NA	0	1.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	69777	68299	1478	NA	5949	0.42	0.41	0.01	356	56.48	16718971	90.672	25.6	4.412	2.385	3645.07	NA	270.892	4	2	33.7	66.229	0.8	69.82	0.594	NA
"197"	"KHM"	"Asia"	"Cambodia"	"2021-03-31"	2440	0	81.143	11	0	0.857	145.942	0	4.853	0.658	0	0.051	1.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	645765	407249	238516	17996	19991	3.86	2.44	1.43	1196	63.89	16718971	90.672	25.6	4.412	2.385	3645.07	NA	270.892	4	2	33.7	66.229	0.8	69.82	0.594	NA
"198"	"KHM"	"Asia"	"Cambodia"	"2021-04-30"	13402	761	650.571	93	2	4.571	801.604	45.517	38.912	5.563	0.12	0.273	1.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	2284788	1339566	945222	43686	52689	13.67	8.01	5.65	3151	72.69	16718971	90.672	25.6	4.412	2.385	3645.07	NA	270.892	4	2	33.7	66.229	0.8	69.82	0.594	NA
"199"	"KHM"	"Asia"	"Cambodia"	"2021-05-31"	30094	690	619	214	5	5	1799.991	41.27	37.024	12.8	0.299	0.299	1.09	NA	NA	NA	NA	NA	NA	NA	NA	4658	1157425	69.228	0.279	6102	0.365	0.101	9.9	"tests performed"	4613562	2625338	1988224	84723	97956	27.59	15.7	11.89	5859	67.13	16718971	90.672	25.6	4.412	2.385	3645.07	NA	270.892	4	2	33.7	66.229	0.8	69.82	0.594	NA
"200"	"KHM"	"Asia"	"Cambodia"	"2021-06-30"	50385	1130	810.571	602	27	18.143	3013.642	67.588	48.482	36.007	1.615	1.085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	7251656	4202751	3048905	158173	124725	43.37	25.14	18.24	7460	NA	16718971	90.672	25.6	4.412	2.385	3645.07	NA	270.892	4	2	33.7	66.229	0.8	69.82	0.594	NA
"201"	"CMR"	"Africa"	"Cameroon"	"2021-01-31"	29617	0	0	462	0	0	1115.692	0	0	17.404	0	0	0.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.19	26545864	50.885	18.8	3.165	1.919	3364.926	23.8	244.661	7.2	NA	NA	2.735	1.3	59.29	0.563	NA
"202"	"CMR"	"Africa"	"Cameroon"	"2021-02-28"	35714	0	280.714	551	0	4	1345.37	0	10.575	20.757	0	0.151	0.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.19	26545864	50.885	18.8	3.165	1.919	3364.926	23.8	244.661	7.2	NA	NA	2.735	1.3	59.29	0.563	NA
"203"	"CMR"	"Africa"	"Cameroon"	"2021-03-31"	47669	0	1006.714	721	0	17.143	1795.722	0	37.924	27.161	0	0.646	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.19	26545864	50.885	18.8	3.165	1.919	3364.926	23.8	244.661	7.2	NA	NA	2.735	1.3	59.29	0.563	NA
"204"	"CMR"	"Africa"	"Cameroon"	"2021-04-30"	72250	0	893.143	1107	0	16.571	2721.705	0	33.645	41.701	0	0.624	0.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	901	NA	NA	NA	34	37.96	26545864	50.885	18.8	3.165	1.919	3364.926	23.8	244.661	7.2	NA	NA	2.735	1.3	59.29	0.563	NA
"205"	"CMR"	"Africa"	"Cameroon"	"2021-05-31"	78929	0	170.857	1275	0	5.143	2973.307	0	6.436	48.03	0	0.194	0.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	75215	63404	11811	NA	2601	0.28	0.24	0.04	98	29.63	26545864	50.885	18.8	3.165	1.919	3364.926	23.8	244.661	7.2	NA	NA	2.735	1.3	59.29	0.563	NA
"206"	"CMR"	"Africa"	"Cameroon"	"2021-06-30"	80858	0	53	1324	0	0.571	3045.974	0	1.997	49.876	0	0.022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26545864	50.885	18.8	3.165	1.919	3364.926	23.8	244.661	7.2	NA	NA	2.735	1.3	59.29	0.563	NA
"207"	"CAN"	"North America"	"Canada"	"2021-01-31"	783695	3933	4522	20041	83	131.714	20764.447	104.207	119.813	530.998	2.199	3.49	0.81	825	21.859	3617	95.834	NA	NA	NA	NA	121406	21593178	572.124	3.217	110819	2.936	0.041	24.5	"tests performed"	957229	845339	111890	5017	20111	2.54	2.24	0.3	533	75.46	37742157	4.037	41.4	16.984	10.797	44017.591	0.5	105.599	7.37	12	16.6	NA	2.5	82.43	0.929	7.42
"208"	"CAN"	"North America"	"Canada"	"2021-02-28"	871694	2347	2993.857	21990	29	45	23096.03	62.185	79.324	582.638	0.768	1.192	0.97	601	15.924	2069	54.819	NA	NA	NA	NA	115600	24444017	647.658	3.063	102232	2.709	0.029	34.1	"tests performed"	1887059	1362034	525025	46624	55812	5	3.61	1.39	1479	75.46	37742157	4.037	41.4	16.984	10.797	44017.591	0.5	105.599	7.37	12	16.6	NA	2.5	82.43	0.929	-2.87
"209"	"CAN"	"North America"	"Canada"	"2021-03-31"	988808	8728	5338.571	22960	68	31.571	26199.033	231.253	141.448	608.338	1.802	0.837	1.25	740	19.607	2516	66.663	NA	NA	NA	NA	94212	27644520	732.457	2.496	112291	2.975	0.048	21	"tests performed"	5690380	5004406	685974	219496	185215	15.08	13.26	1.82	4907	71.76	37742157	4.037	41.4	16.984	10.797	44017.591	0.5	105.599	7.37	12	16.6	NA	2.5	82.43	0.929	NA
"210"	"CAN"	"North America"	"Canada"	"2021-04-30"	1228367	8259	7952.857	24220	55	50	32546.285	218.827	210.715	641.723	1.457	1.325	0.97	1456	38.578	4303	114.01	NA	NA	NA	NA	154117	31479292	834.062	4.083	131427	3.482	0.061	16.5	"tests performed"	13420198	12330084	1090114	288327	270466	35.56	32.67	2.89	7166	75.46	37742157	4.037	41.4	16.984	10.797	44017.591	0.5	105.599	7.37	12	16.6	NA	2.5	82.43	0.929	NA
"211"	"CAN"	"North America"	"Canada"	"2021-05-31"	1389328	2970	3012.429	25528	55	42.429	36811.039	78.692	79.816	676.379	1.457	1.124	0.68	1032	27.343	2246	59.509	NA	NA	NA	NA	72716	34790069	921.783	1.927	81608	2.162	0.037	27.1	"tests performed"	23862397	21783824	2078573	390181	354408	63.22	57.72	5.51	9390	73.61	37742157	4.037	41.4	16.984	10.797	44017.591	0.5	105.599	7.37	12	16.6	NA	2.5	82.43	0.929	NA
"212"	"CAN"	"North America"	"Canada"	"2021-06-30"	1422830	604	623.286	26273	27	18.429	37698.693	16.003	16.514	696.118	0.715	0.488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	37384820	25722762	11662058	608608	542779	99.05	68.15	30.9	14381	NA	37742157	4.037	41.4	16.984	10.797	44017.591	0.5	105.599	7.37	12	16.6	NA	2.5	82.43	0.929	NA
"213"	"CPV"	"Africa"	"Cape Verde"	"2021-01-31"	14070	89	83	134	1	1	25306.302	160.075	149.284	241.012	1.799	1.799	0.97	NA	NA	NA	NA	NA	NA	NA	NA	391	NA	NA	0.703	NA	NA	NA	NA	"tests performed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.26	555988	135.58	25.7	4.46	3.437	6222.554	NA	182.219	2.42	2.1	16.5	NA	2.1	72.98	0.665	NA
"214"	"CPV"	"Africa"	"Cape Verde"	"2021-02-28"	15400	76	50.286	147	0	0.429	27698.44	136.694	90.444	264.394	0	0.771	1.06	NA	NA	NA	NA	NA	NA	NA	NA	312	NA	NA	0.561	NA	NA	NA	NA	"tests performed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.26	555988	135.58	25.7	4.46	3.437	6222.554	NA	182.219	2.42	2.1	16.5	NA	2.1	72.98	0.665	NA
"215"	"CPV"	"Africa"	"Cape Verde"	"2021-03-31"	17470	191	115.571	168	0	0.714	31421.541	343.533	207.867	302.165	0	1.285	1.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"tests performed"	NA	NA	NA	NA	390	NA	NA	NA	701	53.7	555988	135.58	25.7	4.46	3.437	6222.554	NA	182.219	2.42	2.1	16.5	NA	2.1	72.98	0.665	NA
"216"	"CPV"	"Africa"	"Cape Verde"	"2021-04-30"	23882	328	299.714	217	4	2.286	42954.164	589.941	539.066	390.296	7.194	4.111	1.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"tests performed"	NA	NA	NA	NA	390	NA	NA	NA	701	59.26	555988	135.58	25.7	4.46	3.437	6222.554	NA	182.219	2.42	2.1	16.5	NA	2.1	72.98	0.665	NA
"217"	"CPV"	"Africa"	"Cape Verde"	"2021-05-31"	30439	80	146.857	264	0	0.857	54747.584	143.888	264.137	474.83	0	1.542	0.78	NA	NA	NA	NA	NA	NA	NA	NA	705	NA	NA	1.268	NA	NA	NA	NA	"tests performed"	NA	NA	NA	NA	573	NA	NA	NA	1031	NA	555988	135.58	25.7	4.46	3.437	6222.554	NA	182.219	2.42	2.1	16.5	NA	2.1	72.98	0.665	NA
"218"	"CPV"	"Africa"	"Cape Verde"	"2021-06-30"	32457	0	37.857	286	0	0.286	58377.159	0	68.09	514.4	0	0.514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	555988	135.58	25.7	4.46	3.437	6222.554	NA	182.219	2.42	2.1	16.5	NA	2.1	72.98	0.665	NA
"219"	"CYM"	"North America"	"Cayman Islands"	"2021-01-31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	275	NA	NA	NA	4184	NA	65720	256.496	NA	NA	NA	49903.029	NA	NA	13.22	NA	NA	NA	NA	83.92	NA	NA
"220"	"CYM"	"North America"	"Cayman Islands"	"2021-02-28"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	544	NA	NA	NA	8278	NA	65720	256.496	NA	NA	NA	49903.029	NA	NA	13.22	NA	NA	NA	NA	83.92	NA	NA
"221"	"CYM"	"North America"	"Cayman Islands"	"2021-03-31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	49561	30476	19085	NA	934	75.41	46.37	29.04	14212	NA	65720	256.496	NA	NA	NA	49903.029	NA	NA	13.22	NA	NA	NA	NA	83.92	NA	NA
"222"	"CYM"	"North America"	"Cayman Islands"	"2021-04-30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	65694	35774	29920	NA	213	99.96	54.43	45.53	3241	NA	65720	256.496	NA	NA	NA	49903.029	NA	NA	13.22	NA	NA	NA	NA	83.92	NA	NA
"223"	"CYM"	"North America"	"Cayman Islands"	"2021-05-31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	559	NA	NA	NA	8506	NA	65720	256.496	NA	NA	NA	49903.029	NA	NA	13.22	NA	NA	NA	NA	83.92	NA	NA
"224"	"CYM"	"North America"	"Cayman Islands"	"2021-06-30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	93525	48418	44793	NA	508	142.31	73.67	68.16	7730	NA	65720	256.496	NA	NA	NA	49903.029	NA	NA	13.22	NA	NA	NA	NA	83.92	NA	NA
"225"	"CAF"	"Africa"	"Central African Republic"	"2021-01-31"	4981	0	0.143	63	0	0	1031.313	0	0.03	13.044	0	0	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.22	4829764	7.479	18.3	3.655	2.251	661.24	NA	435.727	6.1	NA	NA	16.603	1	53.28	0.397	NA
"226"	"CAF"	"Africa"	"Central African Republic"	"2021-02-28"	5004	0	0.429	63	0	0	1036.075	0	0.089	13.044	0	0	0.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.52	4829764	7.479	18.3	3.655	2.251	661.24	NA	435.727	6.1	NA	NA	16.603	1	53.28	0.397	NA
"227"	"CAF"	"Africa"	"Central African Republic"	"2021-03-31"	5161	0	10.429	67	0	0.429	1068.582	0	2.159	13.872	0	0.089	1.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.96	4829764	7.479	18.3	3.655	2.251	661.24	NA	435.727	6.1	NA	NA	16.603	1	53.28	0.397	NA
"228"	"CAF"	"Africa"	"Central African Republic"	"2021-04-30"	6411	0	26.714	88	0	0.429	1327.394	0	5.531	18.22	0	0.089	1.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.11	4829764	7.479	18.3	3.655	2.251	661.24	NA	435.727	6.1	NA	NA	16.603	1	53.28	0.397	NA
"229"	"CAF"	"Africa"	"Central African Republic"	"2021-05-31"	7091	0	1.714	98	0	0.143	1468.188	0	0.355	20.291	0	0.03	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	18408	18408	NA	NA	934	0.38	0.38	NA	193	11.11	4829764	7.479	18.3	3.655	2.251	661.24	NA	435.727	6.1	NA	NA	16.603	1	53.28	0.397	NA
"230"	"CAF"	"Africa"	"Central African Republic"	"2021-06-30"	7141	0	0.286	98	0	0	1478.54	0	0.059	20.291	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	78685	78685	NA	NA	78	1.63	1.63	NA	16	NA	4829764	7.479	18.3	3.655	2.251	661.24	NA	435.727	6.1	NA	NA	16.603	1	53.28	0.397	NA
"231"	"TCD"	"Africa"	"Chad"	"2021-01-31"	3376	29	30.714	118	0	0.286	205.53	1.766	1.87	7.184	0	0.017	0.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	74.07	16425859	11.833	16.7	2.486	1.446	1768.153	38.4	280.995	6.1	NA	NA	5.818	NA	54.24	0.398	NA
"232"	"TCD"	"Africa"	"Chad"	"2021-02-28"	3973	0	17.714	140	0	0.857	241.875	0	1.078	8.523	0	0.052	0.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	16425859	11.833	16.7	2.486	1.446	1768.153	38.4	280.995	6.1	NA	NA	5.818	NA	54.24	0.398	NA
"233"	"TCD"	"Africa"	"Chad"	"2021-03-31"	4533	10	11.429	164	0	0.857	275.967	0.609	0.696	9.984	0	0.052	0.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.67	16425859	11.833	16.7	2.486	1.446	1768.153	38.4	280.995	6.1	NA	NA	5.818	NA	54.24	0.398	NA
"234"	"TCD"	"Africa"	"Chad"	"2021-04-30"	4817	7	10	170	0	0.143	293.257	0.426	0.609	10.35	0	0.009	0.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	16425859	11.833	16.7	2.486	1.446	1768.153	38.4	280.995	6.1	NA	NA	5.818	NA	54.24	0.398	NA
"235"	"TCD"	"Africa"	"Chad"	"2021-05-31"	4931	2	1	173	0	0	300.197	0.122	0.061	10.532	0	0	0.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	16425859	11.833	16.7	2.486	1.446	1768.153	38.4	280.995	6.1	NA	NA	5.818	NA	54.24	0.398	NA
"236"	"TCD"	"Africa"	"Chad"	"2021-06-30"	4951	0	0	174	0	0	301.415	0	0	10.593	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16425859	11.833	16.7	2.486	1.446	1768.153	38.4	280.995	6.1	NA	NA	5.818	NA	54.24	0.398	NA
