"iso_code"	"continent"	"location"	"date"	"total_cases"	"new_cases"	"new_cases_smoothed"	"total_deaths"	"new_deaths"	"new_deaths_smoothed"	"total_cases_per_million"	"new_cases_per_million"	"new_cases_smoothed_per_million"	"total_deaths_per_million"	"new_deaths_per_million"	"new_deaths_smoothed_per_million"	"reproduction_rate"	"icu_patients"	"icu_patients_per_million"	"hosp_patients"	"hosp_patients_per_million"	"weekly_icu_admissions"	"weekly_icu_admissions_per_million"	"weekly_hosp_admissions"	"weekly_hosp_admissions_per_million"	"new_tests"	"total_tests"	"total_tests_per_thousand"	"new_tests_per_thousand"	"new_tests_smoothed"	"new_tests_smoothed_per_thousand"	"positive_rate"	"tests_per_case"	"tests_units"	"total_vaccinations"	"people_vaccinated"	"people_fully_vaccinated"	"new_vaccinations"	"new_vaccinations_smoothed"	"total_vaccinations_per_hundred"	"people_vaccinated_per_hundred"	"people_fully_vaccinated_per_hundred"	"new_vaccinations_smoothed_per_million"	"stringency_index"	"population"	"population_density"	"median_age"	"aged_65_older"	"aged_70_older"	"gdp_per_capita"	"extreme_poverty"	"cardiovasc_death_rate"	"diabetes_prevalence"	"female_smokers"	"male_smokers"	"handwashing_facilities"	"hospital_beds_per_thousand"	"life_expectancy"	"human_development_index"	"excess_mortality"
"18"	"ALB"	"Europe"	"Albania"	"2021-06-30"	132521	7	3.429	2456	0	0.143	46049.413	2.432	1.191	853.43	0	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2877800	104.871	38	13.188	8.643	11803.431	1.1	304.195	10.08	7.1	51.2	NA	2.89	78.57	0.795	NA
"19"	"DZA"	"Africa"	"Algeria"	"2021-01-31"	107339	217	249	2891	3	4	2447.81	4.949	5.678	65.928	0.068	0.091	0.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	1889	NA	NA	NA	43	72.22	43851043	17.348	29.1	6.211	3.857	13913.839	0.5	278.364	6.73	0.7	30.4	83.741	1.9	76.88	0.748	NA
"20"	"DZA"	"Africa"	"Algeria"	"2021-02-28"	113092	132	167.857	2983	4	3.143	2579.004	3.01	3.828	68.026	0.091	0.072	0.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	22664	NA	NA	NA	517	69.44	43851043	17.348	29.1	6.211	3.857	13913.839	0.5	278.364	6.73	0.7	30.4	83.741	1.9	76.88	0.748	NA
"21"	"DZA"	"Africa"	"Algeria"	"2021-03-31"	117192	131	107.714	3093	4	3.429	2672.502	2.987	2.456	70.534	0.091	0.078	1.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	22664	NA	NA	NA	517	77.78	43851043	17.348	29.1	6.211	3.857	13913.839	0.5	278.364	6.73	0.7	30.4	83.741	1.9	76.88	0.748	NA
"22"	"DZA"	"Africa"	"Algeria"	"2021-04-30"	122108	242	220.857	3253	9	9	2784.609	5.519	5.037	74.183	0.205	0.205	1.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	22664	NA	NA	NA	517	70.83	43851043	17.348	29.1	6.211	3.857	13913.839	0.5	278.364	6.73	0.7	30.4	83.741	1.9	76.88	0.748	NA
"23"	"DZA"	"Africa"	"Algeria"	"2021-05-31"	128913	188	258	3472	7	6.571	2939.793	4.287	5.884	79.177	0.16	0.15	1.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	22664	NA	NA	NA	517	61.57	43851043	17.348	29.1	6.211	3.857	13913.839	0.5	278.364	6.73	0.7	30.4	83.741	1.9	76.88	0.748	NA
"24"	"DZA"	"Africa"	"Algeria"	"2021-06-30"	139626	397	368.143	3716	8	8	3184.098	9.053	8.395	84.741	0.182	0.182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43851043	17.348	29.1	6.211	3.857	13913.839	0.5	278.364	6.73	0.7	30.4	83.741	1.9	76.88	0.748	NA
"25"	"AND"	"Europe"	"Andorra"	"2021-01-31"	9937	52	55.429	101	0	0.714	128609.332	673.008	717.383	1307.19	0	9.245	0.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	650	8.413	0.085	11.7	"people tested"	NA	NA	NA	NA	66	NA	NA	NA	854	55.56	77265	163.755	NA	NA	NA	NA	NA	109.135	7.97	29	37.8	NA	NA	83.73	0.868	NA
"26"	"AND"	"Europe"	"Andorra"	"2021-02-28"	10866	17	23.857	110	0	0.429	140632.887	220.022	308.77	1423.672	0	5.547	0.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	342	4.426	0.07	14.3	"people tested"	NA	NA	NA	NA	72	NA	NA	NA	932	55.56	77265	163.755	NA	NA	NA	NA	NA	109.135	7.97	29	37.8	NA	NA	83.73	0.868	NA
"27"	"AND"	"Europe"	"Andorra"	"2021-03-31"	12010	66	53.143	115	0	0.143	155439.073	854.203	687.8	1488.384	0	1.849	1.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	497	6.432	0.107	9.4	"people tested"	NA	NA	NA	NA	197	NA	NA	NA	2550	52.78	77265	163.755	NA	NA	NA	NA	NA	109.135	7.97	29	37.8	NA	NA	83.73	0.868	NA
